"table","row","key","venue","year","display","title","full_venue","doi","source","status"
"2","3","frome2013devise","NeurIPS","2013","NeurIPS'13","DeViSE: A Deep Visual-Semantic Embedding Model","Advances in Neural Information Processing Systems","","source/references.bib","existing_citation_retained"
"2","4","akata2016ale","TPAMI","2016","TPAMI'16","Label-Embedding for Image Classification","IEEE Transactions on Pattern Analysis and Machine Intelligence","10.1109/TPAMI.2015.2487986","source/references.bib","existing_citation_retained"
"2","5","akata2015sje","CVPR","2015","CVPR'15","Evaluation of output embeddings for fine-grained image classification","2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)","10.1109/CVPR.2015.7298911","source/references.bib","existing_citation_retained"
"2","6","xian2019fvaegan","CVPR","2019","CVPR'19","F-VAEGAN-D2: A Feature Generating Framework for Any-Shot Learning","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","10.1109/CVPR.2019.01052","source/references.bib","existing_citation_retained"
"2","7","xu2020apn","NeurIPS","2020","NeurIPS'20","Attribute Prototype Network for Zero-Shot Learning","Advances in Neural Information Processing Systems","","source/references.bib","existing_citation_retained"
"2","8","parida2020cjme","WACV","2020","WACV'20","Coordinated Joint Multimodal Embeddings for Generalized Audio-Visual Zero-shot Classification and Retrieval of Videos","Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","10.1109/WACV45572.2020.9093438","source/references.bib","existing_citation_retained"
"2","9","mazumder2021avgzslnet","WACV","2021","WACV'21","AVGZSLNet: Audio-Visual Generalized Zero-Shot Learning by Reconstructing Label Features From Multi-Modal Embeddings","Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","10.1109/WACV48630.2021.00313","source/references.bib","existing_citation_retained"
"2","10","mercea2022avca","CVPR","2022","CVPR'22","Audio-Visual Generalised Zero-Shot Learning With Cross-Modal Attention and Language","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","10.1109/CVPR52688.2022.01030","source/references.bib","existing_citation_retained"
"2","11","mercea2022tcaf","ECCV","2022","ECCV'22","Temporal and Cross-modal Attention for Audio-Visual Zero-Shot Learning","Computer Vision -- ECCV 2022","10.1007/978-3-031-20044-1_28","source/references.bib","existing_citation_retained"
"2","12","zheng2023avfs","IJCNN","2023","IJCNN'23","A Generative Approach to Audio-Visual Generalized Zero-Shot Learning: Combining Contrastive and Discriminative Techniques","2023 International Joint Conference on Neural Networks (IJCNN)","10.1109/IJCNN54540.2023.10191705","C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib key 6; source/references.bib zheng2023avfs","resolved_authorized_citation_added"
"2","13","hong2023hyperbolic","ICCV","2023","ICCV'23","Hyperbolic Audio-visual Zero-shot Learning","Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV)","10.1109/ICCV51070.2023.00724","source/references.bib","existing_citation_retained"
"2","14","chen2023kda","arXiv","2023","arXiv'23","Boosting Audio-visual Zero-shot Learning with Large Language Models","arXiv preprint arXiv:2311.12268","10.48550/arXiv.2311.12268","source/references.bib","existing_citation_retained"
"2","15","li2024stft","TIP","2024","TIP'24","Spiking Tucker Fusion Transformer for Audio-Visual Zero-Shot Learning","IEEE Transactions on Image Processing","10.1109/TIP.2024.3430080","source/references.bib","existing_citation_retained"
"2","16","kurzendorfer2024clipclap","CVPRW","2024","CVPRW'24","Audio-Visual Generalized Zero-Shot Learning using Pre-Trained Large Multi-Modal Models","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","10.1109/CVPRW63382.2024.00269","source/references.bib","existing_citation_retained"
"2","17","mo2024easy","ECCV","2024","ECCV'24","Audio-Visual Generalized Zero-Shot Learning the Easy Way","Computer Vision -- ECCV 2024","10.1007/978-3-031-73209-6_22","source/references.bib","existing_citation_retained"
"2","18","yang2025mstr","Neurocomputing","2025","Neurocomputing'25","Multi-modal spiking tensor regression network for audio-visual zero-shot learning","Neurocomputing","10.1016/j.neucom.2025.129636","source/references.bib","existing_citation_retained"
"2","19","li2025mdst","TCSVT","2025","TCSVT'25","Multi-Timescale Motion-Decoupled Spiking Transformer for Audio-Visual Zero-Shot Learning","IEEE Transactions on Circuits and Systems for Video Technology","10.1109/TCSVT.2025.3574499","source/references.bib","existing_citation_retained"
"2","20","yang2026sacma","Inf. Fusion","2026","Inf. Fusion'26","Self-attention and cross-modal attention for audio-visual zero-shot learning","Information Fusion","10.1016/j.inffus.2025.103966","source/references.bib","existing_citation_retained"
"2","21","ma2026sgpan","ICASSP","2026","ICASSP'26","Semantic-Guided Pseudo-Feature Attention Network for Audio-Visual Zero-Shot Learning","ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","10.1109/icassp55912.2026.11463644","source/references.bib","existing_citation_retained"
