"cell_id","original_table","row","physical_column","grid_column","span","vertical_merge","row_label","original_value","typeset_value","normalized_original_numbering","numeric_data_cell","metric","before_bold","after_bold","venue_year_added","pdf_numeric_check","tex_file","typeset_tex","verification_status","column_maximum","rank_check","emphasis_authorized_change","pdf_bold_check","pdf_font"
"T01R01C01","1","1","1","1","1","restart","Dataset","Dataset","Dataset","Dataset","False","False","True","True","","not_numeric","source/tables/table-01-class-splits.tex","\multirow{3}{*}{\textbf{Dataset}}","PASS_CONTENT","","","","",""
"T01R01C02","1","1","2","2","1","restart","Dataset","C","C","C","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","\multirow{3}{*}{$C$}","PASS_CONTENT","","","","",""
"T01R01C03","1","1","3","3","1","restart","Dataset","Cs","Cs","Cs","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","\multirow{3}{*}{${C}_{s}$}","PASS_CONTENT","","","","",""
"T01R01C04","1","1","4","4","1","restart","Dataset","Cu","Cu","Cu","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","\multirow{3}{*}{${C}_{u}$}","PASS_CONTENT","","","","",""
"T01R01C05","1","1","5","5","3","","Dataset","Stage I","Stage I","Stage I","False","False","True","True","","not_numeric","source/tables/table-01-class-splits.tex","\multicolumn{3}{c}{\textbf{Stage I}}","PASS_CONTENT","","","","",""
"T01R01C06","1","1","6","8","3","","Dataset","Stage II","Stage II","Stage II","False","False","True","True","","not_numeric","source/tables/table-01-class-splits.tex","\multicolumn{3}{c}{\textbf{Stage II}}","PASS_CONTENT","","","","",""
"T01R02C01","1","2","1","1","1","continue","","","","","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","","PASS_CONTENT","","","","",""
"T01R02C02","1","2","2","2","1","continue","","","","","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","","PASS_CONTENT","","","","",""
"T01R02C03","1","2","3","3","1","continue","","","","","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","","PASS_CONTENT","","","","",""
"T01R02C04","1","2","4","4","1","continue","","","","","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","","PASS_CONTENT","","","","",""
"T01R02C05","1","2","5","5","1","","","Training","Training","Training","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","Training","PASS_CONTENT","","","","",""
"T01R02C06","1","2","6","6","2","","","Validation","Validation","Validation","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","\multicolumn{2}{c}{Validation}","PASS_CONTENT","","","","",""
"T01R02C07","1","2","7","8","1","","","Training","Training","Training","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","Training","PASS_CONTENT","","","","",""
"T01R02C08","1","2","8","9","2","","","Test","Test","Test","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","\multicolumn{2}{c}{Test}","PASS_CONTENT","","","","",""
"T01R03C01","1","3","1","1","1","continue","","","","","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","","PASS_CONTENT","","","","",""
"T01R03C02","1","3","2","2","1","continue","","","","","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","","PASS_CONTENT","","","","",""
"T01R03C03","1","3","3","3","1","continue","","","","","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","","PASS_CONTENT","","","","",""
"T01R03C04","1","3","4","4","1","continue","","","","","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","","PASS_CONTENT","","","","",""
"T01R03C05","1","3","5","5","1","","","Trs","Trs","Trs","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","${\mathrm{Tr}}_{s}$","PASS_CONTENT","","","","",""
"T01R03C06","1","3","6","6","1","","","Vals","Vals","Vals","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","${\mathrm{Val}}_{s}$","PASS_CONTENT","","","","",""
"T01R03C07","1","3","7","7","1","","","Valu","Valu","Valu","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","${\mathrm{Val}}_{u}$","PASS_CONTENT","","","","",""
"T01R03C08","1","3","8","8","1","","","Trs","Trs","Trs","False","False","False","False","","not_numeric","source/tables/table-01-class-splits.tex","${\mathrm{Tr}}_{s}$","PASS_CONTENT","","","","",""
