cell_id,original_table,row,physical_column,row_label,original_value,column_maximum,before_bold,after_bold,rank_check
T02R03C02,2,3,2,DeViSE [21],36.22,48.33,False,False,PASS
T02R03C03,2,3,3,DeViSE [21],1.07,16.87,False,False,PASS
T02R03C04,2,3,4,DeViSE [21],2.08,22.78,False,False,PASS
T02R03C05,2,3,5,DeViSE [21],5.59,17.65,False,False,PASS
T02R03C06,2,3,6,DeViSE [21],55.59,86.32,False,False,PASS
T02R03C07,2,3,7,DeViSE [21],14.94,46.97,False,False,PASS
T02R03C08,2,3,8,DeViSE [21],23.56,60.63,False,False,PASS
T02R03C09,2,3,9,DeViSE [21],16.09,55.22,False,False,PASS
T02R03C10,2,3,10,DeViSE [21],3.45,47.28,False,False,PASS
T02R03C11,2,3,11,DeViSE [21],8.53,23.61,False,False,PASS
T02R03C12,2,3,12,DeViSE [21],4.91,31.49,False,False,PASS
T02R03C13,2,3,13,DeViSE [21],8.53,23.96,False,False,PASS
T02R04C02,2,4,2,ALE [22],0.28,48.33,False,False,PASS
T02R04C03,2,4,3,ALE [22],5.48,16.87,False,False,PASS
T02R04C04,2,4,4,ALE [22],0.53,22.78,False,False,PASS
T02R04C05,2,4,5,ALE [22],5.48,17.65,False,False,PASS
T02R04C06,2,4,6,ALE [22],57.59,86.32,False,False,PASS
T02R04C07,2,4,7,ALE [22],14.89,46.97,False,False,PASS
T02R04C08,2,4,8,ALE [22],23.66,60.63,False,False,PASS
T02R04C09,2,4,9,ALE [22],16.32,55.22,False,False,PASS
T02R04C10,2,4,10,ALE [22],2.63,47.28,False,False,PASS
T02R04C11,2,4,11,ALE [22],7.87,23.61,False,False,PASS
T02R04C12,2,4,12,ALE [22],3.94,31.49,False,False,PASS
T02R04C13,2,4,13,ALE [22],7.90,23.96,False,False,PASS
T02R05C02,2,5,2,SJE [23],48.33,48.33,False,True,PASS
T02R05C03,2,5,3,SJE [23],1.10,16.87,False,False,PASS
T02R05C04,2,5,4,SJE [23],2.15,22.78,False,False,PASS
T02R05C05,2,5,5,SJE [23],4.06,17.65,False,False,PASS
T02R05C06,2,5,6,SJE [23],63.10,86.32,False,False,PASS
T02R05C07,2,5,7,SJE [23],16.77,46.97,False,False,PASS
T02R05C08,2,5,8,SJE [23],26.50,60.63,False,False,PASS
T02R05C09,2,5,9,SJE [23],18.93,55.22,False,False,PASS
T02R05C10,2,5,10,SJE [23],4.61,47.28,False,False,PASS
T02R05C11,2,5,11,SJE [23],7.04,23.61,False,False,PASS
T02R05C12,2,5,12,SJE [23],5.57,31.49,False,False,PASS
T02R05C13,2,5,13,SJE [23],7.08,23.96,False,False,PASS
T02R06C02,2,6,2,f-VAEGAN-D2 [25],12.77,48.33,False,False,PASS
T02R06C03,2,6,3,f-VAEGAN-D2 [25],0.95,16.87,False,False,PASS
T02R06C04,2,6,4,f-VAEGAN-D2 [25],1.77,22.78,False,False,PASS
T02R06C05,2,6,5,f-VAEGAN-D2 [25],1.91,17.65,False,False,PASS
T02R06C06,2,6,6,f-VAEGAN-D2 [25],17.29,86.32,False,False,PASS
T02R06C07,2,6,7,f-VAEGAN-D2 [25],8.47,46.97,False,False,PASS
T02R06C08,2,6,8,f-VAEGAN-D2 [25],11.37,60.63,False,False,PASS
T02R06C09,2,6,9,f-VAEGAN-D2 [25],11.11,55.22,False,False,PASS
T02R06C10,2,6,10,f-VAEGAN-D2 [25],4.36,47.28,False,False,PASS
T02R06C11,2,6,11,f-VAEGAN-D2 [25],2.14,23.61,False,False,PASS
T02R06C12,2,6,12,f-VAEGAN-D2 [25],2.87,31.49,False,False,PASS
T02R06C13,2,6,13,f-VAEGAN-D2 [25],2.40,23.96,False,False,PASS
T02R07C02,2,7,2,APN [24],7.48,48.33,False,False,PASS
T02R07C03,2,7,3,APN [24],3.88,16.87,False,False,PASS
T02R07C04,2,7,4,APN [24],5.11,22.78,False,False,PASS
T02R07C05,2,7,5,APN [24],4.49,17.65,False,False,PASS
T02R07C06,2,7,6,APN [24],28.46,86.32,False,False,PASS
T02R07C07,2,7,7,APN [24],16.16,46.97,False,False,PASS
T02R07C08,2,7,8,APN [24],20.61,60.63,False,False,PASS
T02R07C09,2,7,9,APN [24],16.44,55.22,False,False,PASS
T02R07C10,2,7,10,APN [24],9.84,47.28,False,False,PASS
T02R07C11,2,7,11,APN [24],5.76,23.61,False,False,PASS
T02R07C12,2,7,12,APN [24],7.27,31.49,False,False,PASS
T02R07C13,2,7,13,APN [24],6.34,23.96,False,False,PASS
T02R08C02,2,8,2,CJME [1],11.96,48.33,False,False,PASS
T02R08C03,2,8,3,CJME [1],5.41,16.87,False,False,PASS
T02R08C04,2,8,4,CJME [1],7.45,22.78,False,False,PASS
T02R08C05,2,8,5,CJME [1],6.84,17.65,False,False,PASS
T02R08C06,2,8,6,CJME [1],48.18,86.32,False,False,PASS
T02R08C07,2,8,7,CJME [1],17.68,46.97,False,False,PASS
T02R08C08,2,8,8,CJME [1],25.87,60.63,False,False,PASS
T02R08C09,2,8,9,CJME [1],20.46,55.22,False,False,PASS
T02R08C10,2,8,10,CJME [1],16.06,47.28,False,False,PASS
T02R08C11,2,8,11,CJME [1],9.13,23.61,False,False,PASS
T02R08C12,2,8,12,CJME [1],11.64,31.49,False,False,PASS
T02R08C13,2,8,13,CJME [1],9.92,23.96,False,False,PASS
T02R09C02,2,9,2,AVGZSLNet [2],13.02,48.33,False,False,PASS
T02R09C03,2,9,3,AVGZSLNet [2],2.88,16.87,False,False,PASS
T02R09C04,2,9,4,AVGZSLNet [2],4.71,22.78,False,False,PASS
T02R09C05,2,9,5,AVGZSLNet [2],5.44,17.65,False,False,PASS
T02R09C06,2,9,6,AVGZSLNet [2],56.26,86.32,False,False,PASS
T02R09C07,2,9,7,AVGZSLNet [2],34.37,46.97,False,False,PASS
T02R09C08,2,9,8,AVGZSLNet [2],42.67,60.63,False,False,PASS
T02R09C09,2,9,9,AVGZSLNet [2],35.66,55.22,False,False,PASS
T02R09C10,2,9,10,AVGZSLNet [2],14.81,47.28,False,False,PASS
T02R09C11,2,9,11,AVGZSLNet [2],11.11,23.61,False,False,PASS
T02R09C12,2,9,12,AVGZSLNet [2],12.70,31.49,False,False,PASS
T02R09C13,2,9,13,AVGZSLNet [2],12.39,23.96,False,False,PASS
T02R10C02,2,10,2,AVCA [3],32.47,48.33,False,False,PASS
T02R10C03,2,10,3,AVCA [3],6.81,16.87,False,False,PASS
T02R10C04,2,10,4,AVCA [3],11.26,22.78,False,False,PASS
T02R10C05,2,10,5,AVCA [3],8.16,17.65,False,False,PASS
T02R10C06,2,10,6,AVCA [3],34.90,86.32,False,False,PASS
T02R10C07,2,10,7,AVCA [3],38.67,46.97,False,False,PASS
T02R10C08,2,10,8,AVCA [3],36.69,60.63,False,False,PASS
T02R10C09,2,10,9,AVCA [3],38.67,55.22,False,False,PASS
T02R10C10,2,10,10,AVCA [3],24.04,47.28,False,False,PASS
T02R10C11,2,10,11,AVCA [3],19.88,23.61,False,False,PASS
T02R10C12,2,10,12,AVCA [3],21.76,31.49,False,False,PASS
T02R10C13,2,10,13,AVCA [3],20.88,23.96,False,False,PASS
T02R11C02,2,11,2,TCaF [5],12.63,48.33,False,False,PASS
T02R11C03,2,11,3,TCaF [5],6.72,16.87,False,False,PASS
T02R11C04,2,11,4,TCaF [5],8.77,22.78,False,False,PASS
T02R11C05,2,11,5,TCaF [5],7.41,17.65,False,False,PASS
T02R11C06,2,11,6,TCaF [5],67.14,86.32,False,False,PASS
T02R11C07,2,11,7,TCaF [5],40.83,46.97,False,False,PASS
T02R11C08,2,11,8,TCaF [5],50.78,60.63,False,False,PASS
T02R11C09,2,11,9,TCaF [5],44.64,55.22,False,False,PASS
T02R11C10,2,11,10,TCaF [5],30.12,47.28,False,False,PASS
T02R11C11,2,11,11,TCaF [5],7.65,23.61,False,False,PASS
T02R11C12,2,11,12,TCaF [5],12.20,31.49,False,False,PASS
T02R11C13,2,11,13,TCaF [5],7.96,23.96,False,False,PASS
T02R12C02,2,12,2,AVFS,15.62,48.33,False,False,PASS
